,source,edge,target
0,computing,based_on,computing paradigm ethics
1,multiple  services,stored_on_multiple,several  organizations
2,Systems,span,multiple security process
3,border,becomes,accountability
4,something,make,case
5,who,determine,something
6,many  entities,contribute,undesirable  consequences
7,Some,have,consequences
8,therefore  one,held_responsible,many  hands
9,sharing,test,self
10,this,tests,today
11,social  which,made_possible,also cloud computing
12,providers,collected,personal data world
13,where data centers,determined_by,therefore privacy companies
14,other  cultures,emphasize,community
15,ambivalent  which,leads_to,ambivalent  Internet
16,what,have_easy,proactively cloud easy
17,undesirable  phenomena,appear_in,only cloud time
18,something,means,regulations
19,attention,paid,ethics
20,who,allows,records
21,only  that,is,prices
22,concepts,evolved_through,distributed system developments
23,Web,expected,available  Web.1
24,Grid,initiated_in,early  1990s
25,clouds,used_for,centric Web content
26,high Tim Berners who,need,World Wide data transfer
27,who,worked_at,Nuclear Research
28,Web,opened,centric data content
29,readily  machines,interpreted_by,tedious  theWeb
30,given knowledge technologies,include,such RDF Schema
31,computing,reinforced,system data centers
32,each,running,limited
33,model,taking,centric  shape
34,libraries,developed_since,early grid services
35,individual  systems,autonomy_of,serious interconnection vision
36,Large Hadron which,aims,10  year
37,impact movement supporters,prevented,grid movement
38,Indeed  heterogeneity,poses_significant,significant application mobility
39,resources,complicates_many,security resource management
40,science grid movement,address,noticeable IT industry
41,companies,seem,important cloud gridmovement
42,content,refers_to,content  aggregation
43,that,extracted_by,content mining
44,users,allow,suitable network latency
45,users,fetch,desired
46,content,share,characteristics
47,simulation,becomes,all  archeology
48,such  Computer,used_in,aerospace Interactive industries
49,Computer,aided,dimensional Interactive Application
50,use,contributes_to,data
51,larger  media,increase,storage
52,Indeed  transferring,requires,high  bandwidth
53,systems,accessed,limited  resources
54,2011  Google,released,same Google Chrome name
55,infrastructure,supports,workflow management
56,network resources,discuss,intensive  applications
57,average system utilization,synchronized,resources
58,other  management,poses_new,complex  transitions
59,strategies,considered,approximate self system
60,Data sharing,facilitates_collaborative,collaborative  activities
61,applications,require_multiple,multiple data globe
62,you,creates,local computing infrastructure
63,solid state which,witnessed,many  processors
64,processors,used_in,now computer clouds
65,higher clock signals,allows,higher clock rate
66,such RamSan- systems,allow,concurrent transaction users
67,RamSan-440,uses,15 output microseconds
68,significantly  price,dropped,1 GB PC
69,price,approaching,1 GB PC
70,thinking,evolved,software engineering
71,typically  tier,runs_on,such shopping cart contents
72,tier,communicates_with_other,other client network
73,tier,controls,application
74,tier,controls,the
75,tier,runs,relational data storage logic
76,tier,keeps,processing scalability
77,Any,replaced,tiers
78,change,affect,only interface code
79,survey,published_in,peer  2010
80,systems,discussed_in,368
81,platform,presented_in,21
82,issues,discussed_in,cloud 350
83,book,covers,peer  peer
84,computation,formulated,public  water
85,computation,organized_as,public  utility
86,Gordon Bell,invited_to,parallel  themasses
87,only  cost,argued,rewriting  systems
88,Stanford University,founded_by,chief Andy Bechtolsheim
89,Stanford University,incorporated_in,California
90,EC2,released_as,public cloud computing August
91,system,developed_by,Cape Town
92,2008  Microsoft,announced,Windows Azure
93,2010  platform,became,June
94,system,announced_on,June
95,Oracle Cloud,announced,features oracle cloud
96,Clouds,affected_by_malicious,malicious  infrastructure
97,events,affect,directly domain name clouds
98,major domain name that,caused,Google
99,Lightning,caused,prolonged  Amazon
100,Eastern United which,troubled_by,electrical utility power storm
101,which,consists_of,10 data centers
102,storm,took,exclusively Amazon region
103,backup  that,failed,power supply power units
104,control users,uses,different  region
105,users,switch_to,resources
106,bug,affected,Database Service
107,hidden  that,brought_to,special  circumstances
108,paper,identifies,interacting stability services
109,provider,implement_different,different network policies
110,interactions,lead_to_dynamic,dynamic  instabilities
111,power elements,lead_to_undesirable,based Border Gateway Protocol
112,load balancer,interact_with,infrastructure provider
113,Some,manifest_under_extreme,normal operating conditions
114,when  system,have_disastrous,2012  failure
115,dispersion,have_additional,positive  side
116,electric communication energy,reduce,communication traffic communication sites
117,dispersion,improve,balancing  strategy
118,Sometimes  user,has,the
119,where  instances,see_in,well storage sites
120,AWS user,has,the
121,objectives,have,carefully user needs
122,latency,is,global decision making
123,performance audit,evaluates_cloud,cloud  performance
124,audit,evaluates,cloud privacy assurance
125,audit,evaluates,cloud
126,computer operations center,start_with,cloud that
127,cloud  services,provided_by,noncloud architectures
128,SaaS,gives,cloud infrastructure
129,user,manage,specific application configuration settings
130,Services,services_such,such workflow management
131,Many  competitors,use,same
132,Platform,gives,created programming provider
133,user,manage,underlying cloud network
134,user,has,possibly environment configurations
135,services,include,Markup Language Web service applications
136,consumer,manage,such host firewalls
137,Services,include,server hosting
138,model,based_on,utility pricing model
139,hardware,shared_among_multiple,multiple  users
140,business,needs,resources
141,oriented  architecture,shows,complex  subsystems
142,oriented  architecture,involves_multiple,multiple
143,resource abstraction which,see,physical resource layer
144,information processing,reinforced,accessible  Internet
145,When  computing,used,distant data centers
146,we,talk_about,centric  computing
147,users,pay,computing
148,computing,requires,like  infrastructure
149,models,summarized_in,deployment Figure
150,Cloud computing,uses,elastic Internet services
151,computing,refers_to,variable computing workload
