,source,edge,target
0,information processing,reinforced,accessible  Internet
2,When  computing,used,distant data centers
3,we,talk about,centric  computing
6,users,pay,computing
8,computing,requires,like  infrastructure
9,models,summarized in,deployment Figure
12,Cloud computing,uses,elastic Internet services
14,computing,refers to,variable computing workload
15,provider,maintains,elastic  services
17,resources,metered,services
18,only  users,charged,only  resources
19,Maintenance,ensured by,service providers
20,service providers,allows,efficiently  specialization
22,lower resource costs,passed,cloud users
24,potentially data storage strategy,increases,reliability
25,same  strategy,lowers,communication costs
26,new  applications,speculate,infrastructure
27,how  infrastructure,evolve,new  paradigm
29,users,rely on,large data centers
31,data data activities,benefit from,cloud computing
32,range,stored on,such management cloud
33,early  Apple,announced,the
34,content,confined to personal,such  workstations
35,easily  approach,shared,major  concerns
36,approach,raises major,major
38,we,own,still  information
39,few  focus,expected,main application domain
41,shift,reflected by,dedicated United States
43,government agencies,recognize,regulatory IT systems
45,how  agencies,invested,cloud computing
47,cost,noted,wide area network
48,cost,decreased,wide area network
49,where  application,makes economical,other  cloud
51,new  classes,leads,few cloud computing years
52,new  classes,emerge in,few cloud computing years
53,high  that,generated,even  misinformation
54,we,attempt,main cloud computing
56,We,discuss,then cloud technology
58,decades,paved,distributed cloud computing
59,we,discovered,algorithmic  others
60,we,start,parallel computing parallel systems
