,source,edge,target
254,cloud computing,grouped_into_several,general  categories
265,cloud computing,are,technological  breakthroughs
163,data data activities,benefit_from,cloud computing
173,how  agencies,invested,cloud computing
234,economical  advantages,became,cloud computing
968,architectures,proposed,cloud computing
1676,We,use,cloud computing
1883,questionable  that,offers,cloud computing
3898,unknown risk profile,refers_to,cloud computing
4573,that,discuss,cloud computing
4612,previous  discussion,focused_on,cloud computing
